varname,mean,sd,min,max
"% Chg. in Pop.",-.251,.179,-.785,1.606
"RTC^M_r",-.13,.019,-.163,0
"RTC^X_r",-.025,.011,-.096,0
"Population 2000",16764.34,80652.91,35.849,2424240
"Observations 2000",1760.122,6396.837,38,221279
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
